Case,Channel,Role_mapping,Series_or_input,Source_as_configured,Transformation,Actually_tested_alternative,Control_window,Legacy_crisis_window,Calibration_period,Calibration_rule,Calibration_relation_to_control,Normalization,Selection_status,Joint_alternative_test,Frozen_crisis_input,Frozen_control_input,Code_reference,Raw_provenance_status
2008 Financial,rho,External monetary-policy movement,DFF,FRED,Absolute 5-observation first difference,DGS2 level,2004-01-01 to 2006-06-30,2005-01-01 to 2009-03-31,2005-01-01 to 2007-06-30,Channel-specific 99th percentile,Overlaps the control window and extends one year beyond the control end; remains before the 2008-09-15 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",DGS2 x VIXCLS x COMPOUT,data/crisis_2008_pi.csv,data/control_2004_2006_pi.csv,Cases/config.py; Cases/data_fetcher.py; Cases/pi_calculator.py,Processed crisis/control CSVs are frozen and hash-checked; the original FRED response snapshot and vintage manifest are not archived
2008 Financial,psi,Interbank funding-stress movement,TEDRATE,FRED,Absolute 5-observation first difference,VIXCLS level,2004-01-01 to 2006-06-30,2005-01-01 to 2009-03-31,2005-01-01 to 2007-06-30,Channel-specific 99th percentile,Overlaps the control window and extends one year beyond the control end; remains before the 2008-09-15 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",DGS2 x VIXCLS x COMPOUT,data/crisis_2008_pi.csv,data/control_2004_2006_pi.csv,Cases/config.py; Cases/data_fetcher.py; Cases/pi_calculator.py,Processed crisis/control CSVs are frozen and hash-checked; the original FRED response snapshot and vintage manifest are not archived
2008 Financial,omega,Banking-system structural scale,TOTBKCR,FRED,Level value; time-linear interpolation to the common daily index followed by forward/backward edge filling,COMPOUT absolute percentage change,2004-01-01 to 2006-06-30,2005-01-01 to 2009-03-31,2005-01-01 to 2007-06-30,Channel-specific 99th percentile,Overlaps the control window and extends one year beyond the control end; remains before the 2008-09-15 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",DGS2 x VIXCLS x COMPOUT,data/crisis_2008_pi.csv,data/control_2004_2006_pi.csv,Cases/config.py; Cases/data_fetcher.py; Cases/pi_calculator.py,Processed crisis/control CSVs are frozen and hash-checked; the original FRED response snapshot and vintage manifest are not archived
Terra-Luna,rho,Broader crypto-market movement,BTC-USD close,Yahoo Finance,Absolute 5-observation first difference,None recorded in active revised evidence,2021-07-01 to 2022-01-31,2021-07-01 to 2022-07-31,2021-07-01 to 2022-03-31,Channel-specific 99th percentile,Starts with the control window and extends two months beyond the control end; remains before the 2022-05-09 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_terra_luna_pi.csv,data/control_terra_luna_pi.csv,Cases/case2_terra_luna.py,Processed crisis/control CSVs are frozen and hash-checked; the original Yahoo Finance responses and provider versions are not archived
Terra-Luna,psi,LUNC-specific price movement,LUNC-USD close,Yahoo Finance,Absolute 1-observation first difference,None recorded in active revised evidence,2021-07-01 to 2022-01-31,2021-07-01 to 2022-07-31,2021-07-01 to 2022-03-31,Channel-specific 99th percentile,Starts with the control window and extends two months beyond the control end; remains before the 2022-05-09 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_terra_luna_pi.csv,data/control_terra_luna_pi.csv,Cases/case2_terra_luna.py,Processed crisis/control CSVs are frozen and hash-checked; the original Yahoo Finance responses and provider versions are not archived
Terra-Luna,omega,Cross-asset return co-movement,"BTC-USD, ETH-USD, and LUNC-USD",Yahoo Finance,"Mean pairwise correlation of log returns over the preceding 60 observations, transformed as (mean correlation + 1) / 2 and clipped to [0, 1]; fallback 0.5 when fewer than two usable series remain",None recorded in active revised evidence,2021-07-01 to 2022-01-31,2021-07-01 to 2022-07-31,2021-07-01 to 2022-03-31,Channel-specific 99th percentile,Starts with the control window and extends two months beyond the control end; remains before the 2022-05-09 event date,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_terra_luna_pi.csv,data/control_terra_luna_pi.csv,Cases/case2_terra_luna.py,Processed crisis/control CSVs are frozen and hash-checked; the original Yahoo Finance responses and provider versions are not archived
Fukushima,rho,Physical seismic load,"Japan-region USGS earthquakes, magnitude 2.0 or greater",USGS FDSN Event API,"Convert magnitude to energy using 10^(1.5M + 4.8), sum daily, then take log10 of daily total energy",None recorded in active revised evidence,2010-06-01 to 2011-02-28,2010-06-01 to 2011-09-30,2010-06-01 to 2011-02-28,Channel-specific 99th percentile,Identical to the control window,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_fukushima_pi.csv,data/control_fukushima_pi.csv,Cases/case3_fukushima.py,Processed crisis/control CSVs are frozen and hash-checked; the original USGS and Yahoo Finance responses are not archived
Fukushima,psi,Japanese equity-market volatility,^N225 close,Yahoo Finance,Daily percentage return; 5-observation rolling standard deviation annualized by sqrt(252),None recorded in active revised evidence,2010-06-01 to 2011-02-28,2010-06-01 to 2011-09-30,2010-06-01 to 2011-02-28,Channel-specific 99th percentile,Identical to the control window,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_fukushima_pi.csv,data/control_fukushima_pi.csv,Cases/case3_fukushima.py,Processed crisis/control CSVs are frozen and hash-checked; the original USGS and Yahoo Finance responses are not archived
Fukushima,omega,Foreign-exchange stress,JPY=X close,Yahoo Finance,Absolute daily percentage change,None recorded in active revised evidence,2010-06-01 to 2011-02-28,2010-06-01 to 2011-09-30,2010-06-01 to 2011-02-28,Channel-specific 99th percentile,Identical to the control window,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_fukushima_pi.csv,data/control_fukushima_pi.csv,Cases/case3_fukushima.py,Processed crisis/control CSVs are frozen and hash-checked; the original USGS and Yahoo Finance responses are not archived
COVID-19,rho,Global epidemic load,Global confirmed COVID-19 cases,Johns Hopkins CSSE,"Difference global cumulative cases, clip negative revisions to zero, then apply a 7-day rolling mean",None recorded in active revised evidence,2019-07-01 to 2020-01-31,2019-07-01 to 2020-04-30,2019-07-01 to 2020-01-31,Channel-specific 99th percentile,Identical to the control window,Divide by channel-specific calibration-period 99th percentile; clip lower bound at 0; no upper cap,"Retrospective, domain-informed, and iteratively developed; not preregistered",None recorded in active revised evidence,data/crisis_covid_pi.csv,data/control_covid_pi.csv,Cases/case4_covid.py,Processed crisis/control CSVs are frozen and hash-checked; the raw responses and the executed omega-source branch are not independently archived
